                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1343,                 1.1522,                 1.4078,                0.80592,                0.74955,                0.81401,                0.52885,                 1.2029,                 1.0228,                 1.5652,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1169,                  1.121,                  1.392,                0.83572,                0.75289,                0.82425,                0.52812,                 1.2094,                 1.0089,                 1.5571,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1142,                 1.1055,                 1.3846,                0.80927,                0.73457,                0.81041,                0.54199,                 1.1689,                  1.013,                 1.5383,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.0803,                 1.0421,                 1.3539,                0.83482,                0.77709,                0.84401,                0.56606,                 1.1531,                0.94905,                 1.5199,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.0891,                 1.0526,                 1.3621,                 0.8553,                0.72952,                 0.8243,                0.56447,                 1.1254,                 0.9894,                 1.5039,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.0733,                 1.0256,                 1.3459,                0.88762,                0.76896,                0.85888,                0.57859,                 1.1439,                0.93358,                 1.5007,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.0602,                 1.0069,                 1.3404,                0.85648,                0.77083,                 0.8466,                0.56592,                 1.1498,                0.93341,                 1.5151,             0.00041275,             0.00041275,             0.00041275
                     41,                0.98464,                0.76984,                 1.2941,                0.85864,                0.77268,                0.84345,                0.57671,                 1.1377,                0.91403,                 1.4984,             0.00037974,             0.00037974,             0.00037974
                     42,                0.95015,                0.72551,                 1.2681,                0.86957,                0.77622,                0.85179,                0.59563,                 1.1053,                0.89731,                 1.4677,             0.00034674,             0.00034674,             0.00034674
                     43,                0.93433,                0.71023,                 1.2593,                0.87342,                0.78545,                 0.8542,                0.58587,                 1.1236,                0.87879,                 1.4767,             0.00031373,             0.00031373,             0.00031373
                     44,                0.92909,                 0.6853,                 1.2528,                0.87151,                 0.7941,                0.86212,                0.60659,                 1.0887,                 0.8414,                 1.4606,             0.00028072,             0.00028072,             0.00028072
                     45,                0.89962,                0.64568,                 1.2286,                0.87118,                0.82243,                0.87929,                0.62379,                 1.0863,                0.81605,                 1.4528,             0.00024772,             0.00024772,             0.00024772
                     46,                0.88565,                0.62691,                 1.2151,                0.87524,                0.81688,                0.87929,                0.63225,                 1.0679,                0.79853,                  1.441,             0.00021471,             0.00021471,             0.00021471
                     47,                0.86785,                0.60203,                 1.2012,                0.89017,                0.81063,                 0.8732,                0.62445,                 1.0779,                  0.816,                 1.4397,              0.0001817,              0.0001817,              0.0001817
                     48,                0.85305,                 0.5876,                 1.1948,                 0.8941,                0.81017,                0.87339,                 0.6254,                 1.0705,                0.80525,                 1.4513,              0.0001487,              0.0001487,              0.0001487
                     49,                0.83653,                0.56269,                 1.1826,                 0.9029,                0.81451,                0.88181,                 0.6296,                 1.0668,                0.77848,                 1.4344,             0.00011569,             0.00011569,             0.00011569
                     50,                0.82894,                0.55769,                 1.1724,                0.89157,                0.81201,                0.87769,                0.63477,                 1.0521,                0.76373,                 1.4266,             8.2683e-05,             8.2683e-05,             8.2683e-05
