                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1346,                 1.0767,                  1.298,                0.83566,                0.78465,                0.84793,                0.56698,                 1.1772,                0.93145,                 1.4263,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1213,                 1.0426,                 1.2906,                0.86789,                0.78726,                0.86692,                 0.5755,                  1.161,                0.88628,                 1.4129,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1223,                 1.0322,                 1.2895,                0.86654,                0.80924,                0.87084,                0.58705,                 1.1623,                0.86428,                 1.4118,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.0929,                0.98362,                  1.259,                0.86411,                0.82528,                0.86363,                0.58975,                 1.1341,                0.85359,                 1.3963,             0.00051177,             0.00051177,             0.00051177
                     38,                  1.105,                      1,                 1.2729,                0.85945,                0.80988,                0.86559,                0.58689,                 1.1141,                0.87382,                 1.3845,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.0889,                0.99551,                 1.2566,                 0.8925,                0.80559,                0.86923,                0.57834,                 1.1614,                0.85828,                 1.4069,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.0798,                0.96659,                 1.2511,                0.88543,                 0.7904,                 0.8646,                0.58411,                 1.1597,                0.83975,                 1.4152,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.0122,                0.76442,                 1.2323,                0.88872,                0.78694,                0.86694,                0.58353,                  1.148,                0.85568,                 1.3958,             0.00037974,             0.00037974,             0.00037974
                     42,                0.99313,                 0.7221,                 1.2109,                0.87791,                0.81356,                  0.868,                0.60473,                 1.1156,                0.83318,                 1.3643,             0.00034674,             0.00034674,             0.00034674
                     43,                0.97531,                0.70438,                 1.1966,                0.90514,                 0.8373,                0.88735,                 0.6072,                 1.1337,                0.79906,                 1.3812,             0.00031373,             0.00031373,             0.00031373
                     44,                 0.9614,                0.68726,                 1.1862,                0.88967,                0.83167,                0.88551,                0.61389,                 1.1161,                0.77232,                 1.3631,             0.00028072,             0.00028072,             0.00028072
                     45,                0.93735,                0.65593,                 1.1707,                0.89187,                0.83039,                0.88098,                0.60872,                 1.1373,                0.78169,                 1.3805,             0.00024772,             0.00024772,             0.00024772
                     46,                0.93233,                0.64466,                 1.1602,                0.88576,                0.82724,                0.87938,                 0.6225,                 1.1029,                0.77313,                 1.3551,             0.00021471,             0.00021471,             0.00021471
                     47,                0.91688,                0.63309,                 1.1525,                0.89787,                0.84186,                0.88428,                0.62813,                 1.1066,                0.75357,                 1.3668,              0.0001817,              0.0001817,              0.0001817
                     48,                0.91748,                0.62421,                 1.1593,                0.90625,                0.82899,                0.89298,                0.62694,                 1.1094,                 0.7486,                 1.3597,              0.0001487,              0.0001487,              0.0001487
                     49,                0.90003,                0.59655,                 1.1453,                0.89223,                0.84423,                0.89414,                0.63345,                 1.0972,                0.72787,                 1.3566,             0.00011569,             0.00011569,             0.00011569
                     50,                0.89769,                0.59842,                 1.1377,                0.90869,                0.83457,                 0.8959,                0.63626,                 1.0946,                0.73818,                  1.349,             8.2683e-05,             8.2683e-05,             8.2683e-05
